我们,0.2807
一个,0.2596
没有,0.1983
他们,0.1861
发展,0.1814
可以,0.1751
自己,0.1548
就是,0.1435
什么,0.1422
这个,0.1382
这样,0.1254
社会,0.1199
进行,0.116
问题,0.1141
工作,0.1102
起来,0.1067
国家,0.1061
不能,0.105
这些,0.1044
生产,0.1
生活,0.0997
因为,0.0939
不是,0.0937
经济,0.0914
研究,0.0906
主要,0.0874
由于,0.0845
我国,0.0835
关系,0.0832
作用,0.0829
不同,0.0822
中国,0.0815
人们,0.0806
但是,0.0803
现在,0.08
需要,0.0796
所以,0.0787
因此,0.0776
如果,0.0772
已经,0.077
一定,0.0766
重要,0.0747
一些,0.074
情况,0.0724
知道,0.0709
时候,0.0703
必须,0.0701
人民,0.0698
出来,0.0688
活动,0.0687
方面,0.0683
科学,0.0681
也是,0.0677
条件,0.0673
许多,0.0669
通过,0.0668
思想,0.0667
发生,0.0661
为了,0.0658
过程,0.0652
而且,0.064
影响,0.0639
方法,0.0638
要求,0.0638
技术,0.0626
一般,0.0622
具有,0.0614
对于,0.0612
形成,0.0612
时间,0.0603
还是,0.0599
认为,0.0599
世界,0.0596
只有,0.0593
教育,0.0591
以后,0.0591
它们,0.059
同时,0.0589
表现,0.0583
产生,0.0582
出现,0.058
企业,0.0574
社会主义,0.0573
各种,0.0567
之间,0.0563
组织,0.0558
一样,0.0552
成为,0.0549
可能,0.0548
根据,0.0543
开始,0.0538
还有,0.0534
存在,0.0532
地方,0.0532
变化,0.0531
可是,0.0527
革命,0.0525
作为,0.0523
这里,0.0521
提高,0.0519
同志,0.0516
以及,0.0511
发现,0.0504
一切,0.0503
运动,0.0503
历史,0.0483
地区,0.0481
第一,0.0481
物质,0.0476
你们,0.0469
形式,0.0464
那么,0.046
认识,0.046
例如,0.0459
学生,0.0458
政治,0.0458
比较,0.0455
第二,0.0449
怎么,0.0449
经过,0.0448
提出,0.0447
艺术,0.0445
自然,0.0444
过去,0.0441
领导,0.0439
完全,0.0438
东西,0.0437
得到,0.0436
其他,0.0436
劳动,0.0432
决定,0.0429
结构,0.0427
现象,0.0426
理论,0.0422
虽然,0.0419
学习,0.0418
孩子,0.0416
工业,0.0415
特别,0.0415
一点,0.0412
建立,0.0411
管理,0.0409
文化,0.0409
利用,0.0407
人类,0.0402
规定,0.0401
建设,0.0401
应该,0.0401
有些,0.0397
精神,0.0395
基本,0.0394
结果,0.0392
看到,0.0391
大家,0.0385
时期,0.0384
意义,0.038
其中,0.0374
才能,0.0372
能够,0.0372
当时,0.0371
解决,0.0368
美国,0.0368
只是,0.0367
语言,0.0366
增加,0.0365
内容,0.0364
计划,0.0362
今天,0.0359
不仅,0.0358
注意,0.0356
群众,0.0355
联系,0.0352
水平,0.0351
使用,0.0347
当然,0.0346
分析,0.0346
有关,0.0345
实现,0.0344
不过,0.0343
系统,0.0343
直接,0.0343
说明,0.0341
产品,0.0339
全国,0.0338
基础,0.0337
十分,0.0335
市场,0.0334
斗争,0.0333
环境,0.0333
特点,0.0332
为什么,0.0332
于是,0.0331
反映,0.033
引起,0.0329
创造,0.0327
参加,0.0326
甚至,0.0326
能力,0.0325
觉得,0.0324
民族,0.0323
一下,0.0323
具体,0.0321
知识,0.0321
有的,0.032
包括,0.0319
下来,0.0319
部门,0.0315
结合,0.0314
部分,0.0312
任务,0.0312
正确,0.0312
那些,0.0311
不会,0.031
任何,0.0307
眼睛,0.0305
经验,0.0304
农业,0.0303
实际,0.0303
随着,0.0303
不断,0.0302
单位,0.0301
这时,0.0301
最后,0.0301
而是,0.0298
表示,0.0297
关于,0.0297
之后,0.0297
整个,0.0296
受到,0.0295
性质,0.0295
政府,0.0293
到了,0.0291
作品,0.0291
工人,0.029
目的,0.029
青年,0.029
规律,0.0289
农民,0.0289
力量,0.0287
实行,0.0287
一起,0.0286
后来,0.0285
先生,0.0285
然后,0.0284
办法,0.0282
并不,0.0279
制度,0.0279
多少,0.0278
心理,0.0278
有人,0.0278
原则,0.0278
怎样,0.0278
原来,0.0277
等等,0.0276
那个,0.0276
干部,0.0275
商品,0.0275
实践,0.0274
所谓,0.0273
日本,0.0272
统一,0.0272
行为,0.0272
大量,0.0271
矛盾,0.0271
以上,0.0271
个人,0.027
代表,0.0269
然而,0.0269
学校,0.0269
指出,0.0269
几个,0.0268
原因,0.0268
达到,0.0266
感到,0.0266
因素,0.0266
地位,0.0264
方向,0.0264
实验,0.0264
正在,0.0264
程度,0.0263
因而,0.0263
资本主义,0.0263
并且,0.0262
完成,0.0262
回来,0.0261
造成,0.0261
改变,0.026
看见,0.026
往往,0.026
政策,0.0259
目前,0.0258
范围,0.0256
非常,0.0256
那样,0.0256
这么,0.0256
只要,0.0256
法律,0.0255
声音,0.0255
时代,0.0255
首先,0.0255
质量,0.0254
改革,0.0253
阶段,0.0252
心里,0.0252
获得,0.0251
继续,0.0251
方式,0.025
不要,0.0248
取得,0.0247
